method,roi,attribution,a1_capture,a1_umi_density,a1_umi_density_corrected,a2_median_umi,a3_median_genes,c1_coexpr,ned,b1_debris_rate,b2_qc_yield,n_cells_raw
v12,roi1,naive,0.8529506265395738,8.184110376007801,,465.0,353.5,0.0060562015503875,0.7450941801071167,0.003875968992248,1028,1032
v12,roi2,naive,0.8256093008372887,10.045392523538167,,500.0,366.0,0.0028462998102466,0.7011699080467224,0.0037950664136622,1050,1054
v12,roi3,naive,0.8143131399317406,6.890693047964329,,393.5,232.0,0.0022321428571428,0.6555074453353882,0.0287698412698412,979,1008
v12,roi4,naive,0.8124211664364226,15.60353802870957,,970.0,801.0,0.0116352201257861,0.724952220916748,0.0,795,795
v12,roi5,naive,0.8043536253534653,14.748477921881754,,1010.5,795.5,0.0059974747474747,0.6978805661201477,0.0012626262626262,776,792
v12,roi6,naive,0.8980473751600512,12.740954924921216,,602.5,522.5,0.0016611295681063,0.7811250686645508,0.0008305647840531,1203,1204
v12,roi7,naive,0.802484264468334,17.616798837041195,,701.0,583.0,0.0038363171355498,0.7513459324836731,0.0034100596760443,1164,1173
v12,roi8,naive,0.675329526655638,7.745107371955355,,556.5,459.5,0.0056306306306306,0.7626179456710815,0.003003003003003,629,666
v12,roi9,naive,0.7487600661298064,12.831577920239722,,635.0,555.0,0.004323499491353,0.7944343090057373,0.0,979,983
v12,roi10,naive,0.7073730260349979,6.603940264812039,,385.0,246.0,0.0059006211180124,0.6863670945167542,0.0062111801242236,800,805
v12,roi11,naive,0.572,9.616824292443663,,535.0,328.0,0.0050724637681159,0.6681856513023376,0.0072463768115942,685,690
v12,roi12,naive,0.5887341974715955,13.30041213248163,,579.0,499.0,0.003680981595092,0.7872193455696106,0.003680981595092,812,815
v12,roi13,naive,0.7439603221161538,15.100156567659472,,1199.0,955.0,0.0053435114503816,0.710513710975647,0.0,655,655
v12,roi14,naive,0.7218991731128301,11.40502148698407,,779.5,652.5,0.0073099415204678,0.7525849342346191,0.0014619883040935,683,684
v12,roi15,naive,0.4879401973953162,11.067769151172104,,547.0,376.0,0.0023584905660377,0.6897416710853577,0.0047169811320754,628,636
sr,roi1,naive,0.9922351933169112,8.156906648809297,,430.0,322.0,0.0044886807181889,0.7505242228507996,0.009367681498829,1269,1281
sr,roi2,naive,0.9707748920057596,10.18678765256088,,475.5,339.0,0.002579365079365,0.704424262046814,0.0277777777777777,1225,1260
sr,roi3,naive,0.9355268771331058,7.304199777767709,,399.0,226.0,0.0040983606557377,0.6531336307525635,0.0364298724954462,1058,1098
sr,roi4,naive,0.9597573427833505,15.524282116106406,,796.0,665.0,0.0100749765698219,0.740917980670929,0.0028116213683223,1064,1067
sr,roi5,naive,0.9725230752814384,14.765001604446027,,857.0,680.0,0.0057526366251198,0.6997977495193481,0.0057526366251198,1010,1043
sr,roi6,naive,0.9433418693982074,12.75387830427291,,732.0,627.0,0.0022123893805309,0.751683235168457,0.0039331366764995,1013,1017
sr,roi7,naive,0.9583913552052582,17.93619708925585,,962.0,785.0,0.0049603174603174,0.7041918635368347,0.0029761904761904,1004,1008
sr,roi8,naive,0.982016116121458,7.860331718994728,,491.0,415.0,0.00675,0.7624639272689819,0.017,933,1000
sr,roi9,naive,0.9444829609087516,12.680700314002491,,773.0,651.0,0.0074074074074074,0.7533683180809021,0.0021164021164021,942,945
sr,roi10,naive,0.8971404182671788,6.638512294631354,,377.0,237.5,0.0089485458612975,0.6841809153556824,0.0089485458612975,886,894
sr,roi11,naive,0.94992,9.947112533166653,,669.5,418.5,0.0090749414519906,0.6614598631858826,0.0117096018735363,844,854
sr,roi12,naive,0.7826318877687096,13.493700530443483,,696.5,590.0,0.005,0.7547123432159424,0.00625,795,800
sr,roi13,naive,0.9710415444509626,15.388241657403691,,1191.0,954.0,0.0071151358344113,0.6945337057113647,0.0129366106080207,763,773
sr,roi14,naive,0.938917044545212,11.141189205161764,,835.0,694.0,0.0074097938144329,0.7364332675933838,0.009020618556701,768,776
sr,roi15,naive,0.806692752438241,11.348121922375512,,1339.5,821.0,0.0142045454545454,0.6214190721511841,0.0022727272727272,436,440
p3,roi1,naive,0.780014994109457,8.090405196507197,,350.0,272.0,0.0026661197703035,0.759319007396698,0.0106644790812141,1206,1219
p3,roi2,naive,0.7783584875473308,10.052608172706089,,407.0,301.0,0.0014101531023368,0.7254690527915955,0.0145044319097502,1223,1241
p3,roi3,naive,0.71160409556314,7.127173139805015,,313.0,188.0,0.0019396551724137,0.6717331409454346,0.0551724137931034,1096,1160
p3,roi4,naive,0.7712775542074599,15.200600211520385,,723.0,611.0,0.0074511819116135,0.7549563050270081,0.001027749229188,972,973
p3,roi5,naive,0.7439577442245104,14.12718554087712,,715.0,582.0,0.0027693856998992,0.736407995223999,0.0040281973816717,966,993
p3,roi6,naive,0.8299189073836961,12.468836296316075,,500.0,438.0,0.0012745812090313,0.8057659268379211,0.0014566642388929,1371,1373
p3,roi7,naive,0.7708460981451568,16.924950008087094,,524.5,455.0,0.0017673521850899,0.7885197997093201,0.0096401028277634,1534,1556
p3,roi8,naive,0.73141576391483,7.475872676354386,,430.0,364.0,0.0039193729003359,0.787204921245575,0.0111982082866741,840,893
p3,roi9,naive,0.7552130553037172,12.528839216694518,,489.0,435.5,0.0022394136807817,0.8156519532203674,0.003257328990228,1222,1228
p3,roi10,naive,0.6762163892445583,6.730884314036107,,319.0,207.0,0.003763440860215,0.7020995616912842,0.0225806451612903,909,930
p3,roi11,naive,0.7224533333333333,9.98152701561357,,449.0,311.5,0.0037950664136622,0.7068888545036316,0.0180265654648956,1035,1054
p3,roi12,naive,0.5862804715421134,13.078390253006202,,503.5,445.0,0.0016198704103671,0.8020167946815491,0.0075593952483801,919,926
p3,roi13,naive,0.7699322702789184,14.523992274228174,,911.0,759.0,0.002944640753828,0.7436191439628601,0.0047114252061248,844,849
p3,roi14,naive,0.723873032808749,11.22341290776016,,579.0,499.0,0.0046136101499423,0.7801381945610046,0.0103806228373702,857,867
p3,roi15,naive,0.4868889797348595,11.627306218765291,,381.0,280.0,0.0022598870056497,0.7292981743812561,0.0180790960451977,853,885
nuc,roi1,naive,0.2085252222341223,6.859135955175576,,113.0,92.0,0.0,0.8403502702713013,0.1279904306220095,729,836
nuc,roi2,naive,0.2388139299237374,9.473353563393069,,166.0,130.0,0.0003048780487804,0.813565194606781,0.1024390243902439,736,820
nuc,roi3,naive,0.2158703071672355,7.050201777335679,,138.0,85.0,0.0010176390773405,0.764029324054718,0.2211668928086838,574,737
nuc,roi4,naive,0.2753919154303562,13.776995593847063,,334.0,299.0,0.0011574074074074,0.8286336064338684,0.0246913580246913,632,648
nuc,roi5,naive,0.2763164914901563,12.223042625897657,,381.0,334.0,0.0,0.8057480454444885,0.0197693574958813,588,607
nuc,roi6,naive,0.3866837387964149,11.098299452394969,,306.0,281.0,0.0002543234994913,0.8666825890541077,0.0061037639877924,977,983
nuc,roi7,naive,0.2351696095360106,15.299498568552668,,271.0,250.0,0.0011890606420927,0.8597918152809143,0.0451843043995243,797,841
nuc,roi8,naive,0.2380596616681786,6.6962887367117805,,198.5,182.5,0.0004464285714285,0.8535085916519165,0.0571428571428571,516,560
nuc,roi9,naive,0.2949176043944323,12.274897629750187,,328.0,297.5,0.0003246753246753,0.8630663752555847,0.0155844155844155,757,770
nuc,roi10,naive,0.2326077678190354,6.594430455055345,,133.0,91.0,0.0004,0.7803176641464233,0.1808,512,625
nuc,roi11,naive,0.1848533333333333,8.606669719524618,,168.5,118.0,0.0008532423208191,0.781590461730957,0.1313993174061433,509,586
nuc,roi12,naive,0.2519869845842001,11.821534605328036,,314.0,284.5,0.0007692307692307,0.8554379343986511,0.0107692307692307,643,650
nuc,roi13,naive,0.297264145912218,13.313299687983166,,540.0,479.0,0.0009596928982725,0.7887696623802185,0.0460652591170825,497,521
nuc,roi14,naive,0.2650306748466258,9.745200688214156,,316.0,284.0,0.001763668430335,0.8375139236450195,0.0634920634920634,530,567
nuc,roi15,naive,0.0849734275535829,10.643060287050204,,145.0,114.0,0.0,0.8127000331878662,0.1437308868501529,279,327
stardist,roi1,naive,0.3584127664131948,7.35022775742406,,125.0,101.0,0.0,0.8177874684333801,0.1391003460207612,1244,1445
stardist,roi2,naive,0.3638205962348674,8.914887405653019,,157.0,116.0,0.0001820830298616,0.7851244807243347,0.1434814275309541,1176,1373
stardist,roi3,naive,0.3452965017064846,6.6419762123334065,,110.0,70.0,0.0009384384384384,0.7394588589668274,0.2717717717717717,970,1332
stardist,roi4,naive,0.3761186858069554,13.686679888583036,,312.0,285.0,0.000981354268891,0.8364173173904419,0.0343473994111874,983,1019
stardist,roi5,naive,0.3539988262284586,12.513942669774371,,283.0,252.0,0.0002394636015325,0.8294764757156372,0.0411877394636015,966,1044
stardist,roi6,naive,0.448303457106274,11.104067799303694,,317.0,290.0,0.0002210433244916,0.8622611165046692,0.013262599469496,1116,1131
stardist,roi7,naive,0.3923578232050353,15.498614387145302,,267.0,243.5,0.0006747638326585,0.8591215014457703,0.0647773279352226,1376,1482
stardist,roi8,naive,0.3808100752441432,6.768943663625436,,169.5,154.0,0.0002417794970986,0.863709568977356,0.086073500967118,906,1034
stardist,roi9,naive,0.3881926297264146,11.6559078560074,,281.0,256.0,0.0002266545784224,0.8685552477836609,0.0326382592928377,1063,1103
stardist,roi10,naive,0.3166346564233888,6.238003546391903,,104.0,74.0,0.0004566210045662,0.7573437690734863,0.2264840182648402,847,1095
stardist,roi11,naive,0.3552533333333333,8.834472206251405,,165.0,121.0,0.0008424599831508,0.7980157136917114,0.1524852569502948,1006,1187
stardist,roi12,naive,0.3045287245959353,11.9952280477269,,277.0,254.0,0.0002890173410404,0.8610348701477051,0.0335260115606936,836,865
