method,roi,FTC,UMI_density,Median_UMI,Median_genes,Doublet_rate,NED,Debris_rate,QC_yield,N_cells,Silhouette,Immune_survival
stardist,roi6,0.448303457106274,11.104067799303694,317.0,290.0,0.0002210433244916,0.8622611165046692,0.013262599469496,1116,1131,,
v12,roi6,0.898,12.741,602.5,522.5,0.0017,0.7811,0.0008,1203,1204,0.1408,
nuc,roi7,0.2352,15.2995,271.0,250.0,0.0012,0.8598,0.0452,797,841,0.0927,1.0
p3,roi7,0.7708,16.925,524.5,455.0,0.0018,0.7885,0.0096,1534,1556,0.1344,
proseg,roi7,0.9762713752576172,17.53095011594155,602.0,516.5,0.0019659239842726,0.7525100708007812,0.0072083879423328,1507,1526,,
sr,roi7,0.9584,17.9362,962.0,785.0,0.005,0.7042,0.003,1004,1008,0.0851,
stardist,roi7,0.3923578232050353,15.498614387145302,267.0,243.5,0.0006747638326585,0.8591215014457703,0.0647773279352226,1376,1482,,
v12,roi7,0.8025,17.6168,701.0,583.0,0.0038,0.7513,0.0034,1164,1173,0.1408,
nuc,roi8,0.2381,6.6963,198.5,182.5,0.0004,0.8535,0.0571,516,560,0.0927,0.75
p3,roi8,0.7314,7.4759,430.0,364.0,0.0039,0.7872,0.0112,840,893,0.1344,0.6667
proseg,roi8,0.98126901115321,7.9790526027249875,514.0,432.0,0.0066258919469928,0.7602083086967468,0.0101936799184505,922,981,,
sr,roi8,0.982,7.8603,491.0,415.0,0.0068,0.7625,0.017,933,1000,0.0851,1.0
stardist,roi8,0.3808100752441432,6.768943663625436,169.5,154.0,0.0002417794970986,0.863709568977356,0.086073500967118,906,1034,,
v12,roi8,0.6753,7.7451,556.5,459.5,0.0056,0.7626,0.003,629,666,0.1408,0.5
nuc,roi9,0.2949,12.2749,328.0,297.5,0.0003,0.8631,0.0156,757,770,0.0927,1.0
p3,roi9,0.7552,12.5288,489.0,435.5,0.0022,0.8157,0.0033,1222,1228,0.1344,
proseg,roi9,0.9868806996960162,12.69571550933093,546.5,479.0,0.0050387596899224,0.787725031375885,0.0031007751937984,1283,1290,,
sr,roi9,0.9445,12.6807,773.0,651.0,0.0074,0.7534,0.0021,942,945,0.0851,
stardist,roi9,0.3881926297264146,11.6559078560074,281.0,256.0,0.0002266545784224,0.8685552477836609,0.0326382592928377,1063,1103,,
v12,roi9,0.7488,12.8316,635.0,555.0,0.0043,0.7944,0.0,979,983,0.1408,
