no_wba,wba,diff
0.7167810184625819,0.7364589986840606,0.019677980221478708
0.7156530911906726,0.733045563875943,0.017392472685270444
0.7162686952045507,0.7321988411795232,0.015930145974972443
0.7169462200221116,0.7407716367962751,0.0238254167741635
0.7240275156954407,0.7380401622971224,0.014012646601681777
0.7201672036552819,0.7370167856749333,0.016849582019651477
0.7234772134587762,0.7347782489514244,0.01130103549264816
0.7215922226232729,0.7325525845628306,0.010960361939557628
0.7175945309945527,0.7298518282981878,0.012257297303635117
0.7209875129710123,0.736230722932735,0.015243209961722681
0.7243427805881062,0.7350105672735489,0.01066778668544266
0.722323466982558,0.7354448146608269,0.013121347678268891
0.7184282898377481,0.741982162688176,0.02355387285042787
0.715731224845698,0.738929165717928,0.02319794087223004
0.7281321413354558,0.7421883109961345,0.014056169660678686
0.7158653772624792,0.7395942252330326,0.023728847970553413
0.7163784681753637,0.7411595669026362,0.02478109872727252
0.7153927136235295,0.7397265794912391,0.02433386586770958
0.7188544164223958,0.7389314537085994,0.02007703728620358
0.7269190989613833,0.7295607830440021,0.002641684082618778
0.7171710221516193,0.7319298618638315,0.014758839712212146
0.7202888173716872,0.7381751624362025,0.017886345064515363
0.7209460864867228,0.742472827614239,0.02152674112751629
0.7204128665776413,0.7399075602127051,0.019494693635063842
0.7153499804509107,0.7452745397800871,0.02992455932917637
0.717789004595229,0.7347522400767521,0.01696323548152312
0.7205113962976867,0.7418793951316649,0.02136799883397822
0.7180853853628847,0.7398574776828157,0.021772092319931047
0.724100001585327,0.7319991686913018,0.007899167105974825
0.7198484753054246,0.7356811145207772,0.015832639215352606
0.7224970498397411,0.7375518460670207,0.015054796227279676
0.7173942773305507,0.7379797855653413,0.02058550823479055
0.7081884467603374,0.7421490979705528,0.03396065121021541
0.7263647343156784,0.7451672429383466,0.01880250862266819
0.7210562526502915,0.7362117336439185,0.015155480993626957
0.7169078858248195,0.7341296956677797,0.01722180984296029
0.7167814247639019,0.7402944398847033,0.023513015120801395
0.720290540150822,0.7362770367336285,0.015986496582806597
0.7195627044840677,0.7371599419467872,0.017597237462719573
0.7250865190910895,0.7444037319185222,0.019317212827432706
0.7241991306476966,0.7390951769717936,0.014896046324097023
0.7188646597104829,0.7322863148543916,0.013421655143908695
0.7210845495716235,0.7383542503149787,0.01726970074335521
0.7244916066319149,0.733670268775055,0.009178662143140115
0.725760418157914,0.7390786898392121,0.013318271681298066
0.7135132924932703,0.7375368976010521,0.024023605107781787
0.7150843156808117,0.7367125891593918,0.021628273478580096
0.714797735092847,0.7410525088133482,0.026254773720501112
0.7150883969904767,0.7371985069466445,0.0221101099561678
0.7192893392616567,0.7342841456097212,0.014994806348064493
0.7225348779637241,0.7358336275737324,0.01329874961000832
0.7174873209633433,0.7342192560151473,0.016731935051803926
0.7115302848391605,0.7368717651716824,0.025341480332521926
0.7144238985909678,0.7382571569124502,0.02383325832148242
0.7177180384535866,0.7350820684416125,0.017364029988025886
0.7197879710311574,0.7378186906954584,0.01803071966430092
0.7227746054411588,0.7352906472457077,0.012516041804548905
0.7223757636564908,0.7431397723101796,0.02076400865368877
0.7191154331805742,0.7387653993068473,0.01964996612627301
0.7173341661080297,0.7416273578476046,0.024293191739574893
0.7305574256428081,0.7350613594547453,0.004503933811937144
0.7156532747608243,0.74112723842466,0.025473963663835697
0.7158151781026483,0.7292558110647622,0.013440632962113952
0.722338270731916,0.7415587729084655,0.01922050217654947
0.7195670635938604,0.7316212138284943,0.012054150234633965
0.7227266743353606,0.7345740011188483,0.011847326783487655
0.7137896926808288,0.7374081553726995,0.023618462691870734
0.7163313713239968,0.7368803553085356,0.02054898398453875
0.7221660987317814,0.7351742061655626,0.013008107433781224
0.7257002321574291,0.7447592743620461,0.01905904220461707
0.7232717130039807,0.7424958329548497,0.019224119950868923
0.7142496072362035,0.737093915030196,0.02284430779399249
0.7191826502351113,0.7410943261000292,0.021911675864917934
0.7229813658156751,0.7361930702477426,0.01321170443206754
0.728996236552768,0.7374461713389012,0.008449934786133206
0.7176806426090007,0.737799834049201,0.020119191440200357
0.7190172885358124,0.7342715648370536,0.01525427630124121
0.7190195046275056,0.737338588069746,0.018319083442240314
0.7243258601981414,0.7396946347639225,0.015368774565781118
0.7151482058570346,0.7374180079634556,0.022269802106420933
0.7198825410827814,0.7392894188716951,0.0194068777889137
0.724992468867123,0.7403715284494072,0.015379059582284249
0.71728863821164,0.742764303224827,0.025475665013186988
0.7215634189059151,0.7343844522724563,0.012821033366541168
0.7232419205375367,0.7384267414552605,0.015184820917723885
0.716147261798377,0.7365788801922245,0.02043161839384755
0.7212904797567015,0.7400720373398108,0.018781557583109287
0.719186613364166,0.7353929627495875,0.016206349385421537
0.7188100259303096,0.7356773206164577,0.016867294686148115
0.7152370676694535,0.7425246342088044,0.027287566539350938
0.7165531196296786,0.7377433374008756,0.021190217771197006
0.7140428661272619,0.7407491889643089,0.026706322837046992
0.7152758862222367,0.7306825001700412,0.015406613947804515
0.7154850414767502,0.7384936736023414,0.023008632125591233
