,0_1,0_2,0_4,24_1,24_2,24_3,24_4,48_1,48_2,48_3,48_4,72_1,72_2,72_3,72_4,96_2,96_3,96_4,Protein name,ANOVA Significant,Cluster,Number Of Imputations,N: -Log ANOVA p value,N: ANOVA q-value,T: Protein.Group,T: Protein.Ids,T: Gene name
2,8.771479606628418,8.615962982177734,9.633064270019531,10,10,10,9.911172866821289,10,10,10,10,10,10,10,10,10,8.527290344238281,9.39744758605957,,+,,0,3.367344484318815,0.0037948717948717947,P02769,P02769,
3,10,10,10,9.729341506958008,9.256867408752441,9.904632568359375,10,9.985300064086914,8.378228187561035,8.316442489624023,9.819710731506348,9.381288528442383,9.350125312805176,9.425515174865723,9.442153930664062,8.173644065856934,10,10,Histone H1.4,+,,0,1.8633059846666442,0.030785079928952044,P43274,P43274,H1-4
4,-7.33430814743042,-1.5406737327575684,-0.0538753904402256,-0.17759376764297485,0.32587072253227234,-0.024944275617599487,0.36335521936416626,-0.2358083575963974,-1.2942956686019897,-0.5989362597465515,-0.6981019377708435,-1.1286810636520386,-1.1865777969360352,-0.5450824499130249,-1.1357656717300415,-8.442569732666016,-6.683180809020996,0.04434465616941452,KN motif and ankyrin repeat domain-containing protein 2,+,,3,1.7832196848636923,0.03472772689425479,Q8BX02,Q8BX02,Kank2
5,0.06074099615216255,-1.5166643857955933,-3.0821237564086914,3.2443442344665527,0.11134396493434906,3.891383409500122,0.6768641471862793,-3.5237631797790527,-2.3318216800689697,-3.8901968002319336,-1.4122145175933838,-5.177729606628418,-3.025603771209717,-3.5450522899627686,-1.381654977798462,2.0245518684387207,-1.3260838985443115,-1.0383023023605347,"Keratin, type II cytoskeletal 1b",+,,0,1.8306604127810777,0.0323419689119171,Q6IFZ6,Q6IFZ6,Krt77
6,-3.8157665729522705,0.8922908306121826,-0.8101041316986084,-0.1437903642654419,-2.0383872985839844,-0.3794780671596527,-0.462397038936615,-4.865482330322266,-4.718585968017578,-1.0347329378128052,-2.5892322063446045,-2.4436187744140625,0.9199790954589844,-1.393607258796692,-1.479848861694336,2.8914740085601807,2.849252700805664,3.051299571990967,"Fatty acid-binding protein, adipocyte",+,,0,1.6852845509392347,0.04160125097732604,P04117,P04117,Fabp4
7,-2.7900478839874268,-0.03776706010103226,-1.8964905738830566,-1.9614075422286987,-1.6358333826065063,-2.836458444595337,-1.7130699157714844,-3.9526424407958984,-1.9199678897857666,-1.2002073526382446,-3.3899409770965576,-1.0659550428390503,2.1425492763519287,1.5090192556381226,0.3583340644836426,3.7975687980651855,3.849212884902954,3.9041056632995605,Carbonic anhydrase 3,+,,0,3.242705644070222,0.004235897435897436,P16015,P16015,Ca3
8,-1.1150481700897217,-1.5468559265136719,-0.5892937779426575,-1.1392911672592163,-0.9081951975822449,-2.3179728984832764,0.24208228290081024,-2.5707719326019287,-6.420268535614014,-2.4137492179870605,-2.7141146659851074,-3.564866781234741,-2.5442123413085938,-3.1262147426605225,-4.603538990020752,-4.593790531158447,-3.307042121887207,-3.7541916370391846,Tubulin polymerization-promoting protein,+,Cluster -1366,1,3.462633398380345,0.0034083601286173633,Q7TQD2,Q7TQD2,Tppp
9,-1.4362872838974,-1.0136185884475708,-0.4032644033432007,-0.8819435834884644,-1.4476709365844727,-2.109623432159424,-0.4170610308647156,-1.8786016702651978,-3.074108839035034,-1.9950125217437744,-1.40727698802948,-2.128790855407715,-1.998504638671875,-2.581026554107666,-3.5044801235198975,-2.6071088314056396,-5.0554890632629395,-3.4981441497802734,Heat shock protein beta-8,+,Cluster -1366,0,3.7883757389354678,0.002403361344537815,Q9JK92,Q9JK92,Hspb8
10,-1.2312276363372803,-0.0059219542890787125,0.7719109654426575,-0.812949001789093,-1.0793613195419312,-2.3162734508514404,-1.0490323305130005,-1.1109364032745361,-2.4566590785980225,-2.268895149230957,-1.076764464378357,-2.0991170406341553,-3.157761335372925,-4.04103422164917,-3.9485111236572266,-5.001029968261719,-6.371487140655518,-3.2478950023651123,Protein-glutamine gamma-glutamyltransferase 5,+,Cluster -1366,0,5.001619002075149,0.001368421052631579,Q9D7I9,Q9D7I9,Tgm5
11,-2.9418649673461914,-0.9738243818283081,-0.12720434367656708,-2.2534353733062744,-2.068072557449341,-1.9127092361450195,-1.3294693231582642,-2.731491804122925,-3.383650064468384,-4.575573921203613,-2.725156307220459,-1.9134128093719482,-3.039898157119751,-4.568097114562988,-4.356308937072754,-3.3962483406066895,-8.873575210571289,-4.59183931350708,"Atypical kinase COQ8A, mitochondrial",+,Cluster -1366,0,2.177399931549698,0.019129650507328073,Q60936,Q60936,Coq8a
12,-0.8099043369293213,0.3338809609413147,0.6356319189071655,-0.6516692638397217,-1.0297088623046875,-2.2188937664031982,-0.8156765103340149,-1.0128077268600464,-1.639432430267334,-2.109107255935669,-0.8201651573181152,-2.309171438217163,-3.4610612392425537,-3.436458110809326,-3.5931880474090576,-2.997631788253784,-6.453334808349609,-3.6616523265838623,Echinoderm microtubule-associated protein-like 2,+,Cluster -1366,0,4.259076210569152,0.0015584415584415584,Q7TNG5,Q7TNG5,Eml2
13,-1.8840833902359009,-0.27438387274742126,-0.35088375210762024,-2.1037371158599854,-2.1629397869110107,-2.7275636196136475,-1.4160434007644653,-2.2787816524505615,-3.204932689666748,-3.6965179443359375,-2.512070655822754,-2.2097694873809814,-3.768716812133789,-3.4779438972473145,-3.407836675643921,-3.4510841369628906,-2.663506507873535,-7.764526844024658,Carbonyl reductase [NADPH] 3,+,Cluster -1366,1,2.334084864991035,0.01470012547051443,Q8K354,Q8K354,Cbr3
14,-0.1945836991071701,-0.5870760083198547,-0.6249157786369324,-0.8337144255638123,-0.23445624113082886,-4.253262519836426,-0.15696778893470764,-0.9690238833427429,-5.592276096343994,-2.4995510578155518,-1.356627345085144,-1.3905824422836304,-3.0561835765838623,-2.7284600734710693,-3.442023277282715,-3.6491148471832275,-3.757239580154419,-6.3708271980285645,Pirin,+,Cluster -1366,0,2.3407370774898735,0.01457070707070707,Q9D711,Q9D711,Pir
15,-1.7015178203582764,-2.8273117542266846,-0.7685732245445251,-2.0668509006500244,-3.0615692138671875,-2.6810545921325684,-1.2127857208251953,-2.238870859146118,-1.6720325946807861,-2.886949062347412,-1.3890423774719238,-2.2055037021636963,-3.8116395473480225,-3.0488104820251465,-2.6060163974761963,-2.858616828918457,-3.9774956703186035,-7.9229888916015625,Deoxyhypusine hydroxylase,+,Cluster -1366,1,2.056945927755409,0.022904615384615388,Q99LN9,Q99LN9,Dohh
16,-4.12008810043335,-2.185652256011963,-2.0871102809906006,-2.7697958946228027,-2.9913313388824463,-3.1291229724884033,-2.097917318344116,-2.474198818206787,-3.479332447052002,-3.0654971599578857,-3.086113929748535,-3.008826732635498,-3.145026922225952,-2.3655314445495605,-3.5892515182495117,-4.835420608520508,-2.690284252166748,-5.2953925132751465,Amyloid-beta precursor protein;Amyloid-beta protein 40;Amyloid-beta protein 42;C31;C80;C83;C99;Gamma-secretase C-terminal fragment 50;Gamma-secretase C-terminal fragment 57;Gamma-secretase C-terminal fragment 59;N-APP;P3(40);P3(42);Soluble APP-alpha;Soluble APP-beta,+,Cluster -1366,0,3.072704723267794,0.0052035398230088495,P12023,P12023,App
17,-2.8371706008911133,-1.2998591661453247,-1.8210504055023193,-1.5722582340240479,-1.10391366481781,-1.7931478023529053,-0.9651157855987549,-2.97664475440979,-1.8340556621551514,-2.8218722343444824,-2.7458059787750244,-2.3932688236236572,-2.764280080795288,-2.491154432296753,-3.194688558578491,-4.224596977233887,-3.9202120304107666,-6.402416706085205,Prolyl 3-hydroxylase 2,+,Cluster -1366,1,3.9409059309727152,0.002118811881188119,Q8CG71,Q8CG71,P3h2
