Gene,Proteosome,Pathways,Pathway_Count,12,24,48,72,96
Adrm1,✓,"Proteosome, Shh, Wnt",3,-1.443616231282551,-0.3782795270284005,-0.7362874348958321,-0.54521878560384,0.4273796081542969
Psma1,✓,"Proteosome, Shh, Wnt",3,-0.886933485666912,0.0999053319295235,0.5147422154744454,0.287352403004963,1.141796747843422
Psma2,✓,"Proteosome, Shh, Wnt",3,-0.849030653635662,-0.1149746576944998,0.530948479970295,0.2549546559651681,0.9952608744303362
Psma3,✓,"Proteosome, Shh, Wnt",3,-0.5035559336344413,0.2562464078267403,0.6138122876485177,0.3747766812642403,1.0811850229899065
Psma5,✓,"Proteosome, Shh, Wnt",3,-0.5294817288716622,0.240517298380535,0.8004967371622733,0.5473663012186698,1.384162267049156
Psma6,✓,"Proteosome, Shh, Wnt",3,-0.7370713551839181,0.1252051989237479,0.5399238268534354,0.1876064936319998,1.074328740437828
Psma7,✓,"Proteosome, Shh, Wnt",3,-0.624366283416748,0.3274660110473633,0.588524341583252,0.3461232185363769,0.8750813802083321
Psmb1,✓,"Proteosome, Shh, Wnt",3,-0.6839504241943359,-0.013310432434082,0.2619247436523437,0.0006546974182128,0.8597151438395194
Psmb2,✓,"Proteosome, Shh, Wnt",3,-0.8564904530843087,0.0135542551676444,0.3659283320109061,0.2051040331522635,0.97334416707357
Psmb3,✓,"Proteosome, Shh, Wnt",3,-1.0590996742248535,0.2921724319458008,1.0445294380187988,0.6059360504150391,1.7833436330159491
Psmb4,✓,"Proteosome, Shh, Wnt",3,0.4008646011352539,0.7371940612792969,1.1838083267211914,1.2086191177368164,2.1790218353271484
Psmb5,✓,"Proteosome, Shh, Wnt",3,-0.4646973609924316,-0.0436091423034668,1.0127010345458984,0.4719786643981933,1.6822458902994804
Psmb6,✓,"Proteosome, Shh, Wnt",3,-0.692567030588787,0.1773708661397286,0.7560923894246407,0.4810980161031075,0.927165985107422
Psmb7,✓,"Proteosome, Shh, Wnt",3,-0.4091108640034981,0.2307831446329764,0.4528428713480643,0.2862955729166678,1.0693772633870466
Psmb8,✓,Proteosome,1,-1.6778594652811698,1.0055826505025216,0.2055228551228829,-1.1912826697031669,-0.277691205342613
Psmc1,✓,"Proteosome, Shh, Wnt",3,-0.5017649332682304,0.262882073720295,-0.0006767908732108,-0.336736838022869,0.0304756164550781
Psmd1,✓,"Proteosome, Shh, Wnt",3,-0.5281217892964669,0.1522294680277518,0.1901079813639334,-0.4890378316243478,0.6016699473063163
