method,n_cells,ftc,gt_coverage,efficiency,ned,doublet_rate,match_rate,subset_wf1,weighted_f1,annot_efficiency,efficiency_valid
StarDist,87984,0.3627,1.0,2.7570995312930795,0.8173,0.0007,0.965651946072126,0.6451181444006102,0.6451181444006102,1.7786549335555837,False
MCseg,47253,0.4994,0.674,1.3496195434521425,0.7301,0.004,0.651231480158163,0.7381122667573159,0.5907580580416119,1.4779981312721584,True
SR,60094,0.8619,0.938,1.0882933054878756,0.7031,0.0076,0.9067219284455242,0.7420064623111895,0.7157153245882653,0.8608962319424406,True
NUC,48390,0.2311,0.772,3.340545218520121,0.787,0.001,0.621980848935258,0.6180645157028689,0.4816029875391497,2.6744461951660274,True
ProSeg,59969,0.9955,0.997,1.0015067805123052,0.6894,0.0081,0.9624124624839216,0.7478173592706585,0.7463019643372043,0.7511977491417966,True
