method,weighted_f1,epithelial_p,epithelial_r,epithelial_f1,stromal_p,stromal_r,stromal_f1,immune_p,immune_r,immune_f1,match_rate,subset_wf1
StarDist+WBA (ref),0.6124179776356105,0.7626602564102564,0.7884360503644798,0.7753339850114044,0.7487382840663303,0.33657429914114406,0.46439351593068756,0.24423393739703458,0.2157933042212518,0.22913446676970634,0.8423610118622267,0.6831778304764234
StarDist+WBA,0.6451181444006102,0.8634505314799673,0.8086446013783715,0.8351493848857645,0.8466286799620133,0.3065153859377686,0.4500820396314527,0.24898949070331447,0.22814814814814816,0.23811364514882102,0.9656519460721261,0.6451181444006102
MCseg+WBA,0.5907580580416119,0.9010656492566768,0.5827448311069514,0.7077606696290173,0.770414201183432,0.33574007220216606,0.4676724137931034,0.4315673289183223,0.2896296296296296,0.3466312056737589,0.651231480158163,0.7381122667573159
SR+WBA,0.7157153245882653,0.8946607642966844,0.8425933804135114,0.8678468144772588,0.7763274992583803,0.44988825855251846,0.5696560731388768,0.398876404494382,0.34185185185185185,0.36816912644595134,0.9067219284455242,0.7420064623111895
NUC+WBA,0.48160298753914976,0.8443267776096823,0.4748574831957798,0.6078527473724337,0.7790697674418605,0.20732336255801959,0.3274949083503055,0.32451403887688984,0.2225925925925926,0.2640597539543058,0.621980848935258,0.6180645157028689
ProSeg+WBA,0.7463019643372043,0.8967296257432669,0.8725431804645623,0.8844710854284359,0.798984771573604,0.54117242564896,0.6452803115711797,0.3825586178527355,0.34444444444444444,0.3625024361722861,0.9624124624839216,0.7478173592706585
